pogoda,sport,staz,plec,stan,miejsce
goraco,lina,<3,kobieta,zmeczony,dom
goraco,lina,<3,kobieta,wypoczęty,skaly
goraco,lina,<3,kobieta,srednie,dom
goraco,lina,<3,mezczyzna,zmeczony,dom
goraco,lina,<3,mezczyzna,wypoczęty,skaly
goraco,lina,<3,mezczyzna,srednie,skaly
goraco,lina,3-10,kobieta,zmeczony,dom
goraco,lina,3-10,kobieta,wypoczęty,scianka
goraco,lina,3-10,kobieta,srednie,dom
goraco,lina,3-10,mezczyzna,zmeczony,dom
goraco,lina,3-10,mezczyzna,wypoczęty,dom
goraco,lina,3-10,mezczyzna,srednie,dom
goraco,lina,>10,kobieta,zmeczony,skaly
goraco,lina,>10,kobieta,wypoczęty,dom
goraco,lina,>10,kobieta,srednie,scianka
goraco,lina,>10,mezczyzna,zmeczony,skaly
goraco,lina,>10,mezczyzna,wypoczęty,scianka
goraco,lina,>10,mezczyzna,srednie,scianka
goraco,bouldering,<3,kobieta,zmeczony,scianka
goraco,bouldering,<3,kobieta,wypoczęty,scianka
goraco,bouldering,<3,kobieta,srednie,skaly
goraco,bouldering,<3,mezczyzna,zmeczony,skaly
goraco,bouldering,<3,mezczyzna,wypoczęty,scianka
goraco,bouldering,<3,mezczyzna,srednie,scianka
goraco,bouldering,3-10,kobieta,zmeczony,skaly
goraco,bouldering,3-10,kobieta,wypoczęty,skaly
goraco,bouldering,3-10,kobieta,srednie,skaly
goraco,bouldering,3-10,mezczyzna,zmeczony,dom
goraco,bouldering,3-10,mezczyzna,wypoczęty,dom
goraco,bouldering,3-10,mezczyzna,srednie,dom
goraco,bouldering,>10,kobieta,zmeczony,scianka
goraco,bouldering,>10,kobieta,wypoczęty,dom
goraco,bouldering,>10,kobieta,srednie,scianka
goraco,bouldering,>10,mezczyzna,zmeczony,scianka
goraco,bouldering,>10,mezczyzna,wypoczęty,dom
goraco,bouldering,>10,mezczyzna,srednie,scianka
goraco,czasowki,<3,kobieta,zmeczony,dom
goraco,czasowki,<3,kobieta,wypoczęty,dom
goraco,czasowki,<3,kobieta,srednie,skaly
goraco,czasowki,<3,mezczyzna,zmeczony,dom
goraco,czasowki,<3,mezczyzna,wypoczęty,skaly
goraco,czasowki,<3,mezczyzna,srednie,dom
goraco,czasowki,3-10,kobieta,zmeczony,dom
goraco,czasowki,3-10,kobieta,wypoczęty,skaly
goraco,czasowki,3-10,kobieta,srednie,skaly
goraco,czasowki,3-10,mezczyzna,zmeczony,dom
goraco,czasowki,3-10,mezczyzna,wypoczęty,scianka
goraco,czasowki,3-10,mezczyzna,srednie,skaly
goraco,czasowki,>10,kobieta,zmeczony,scianka
goraco,czasowki,>10,kobieta,wypoczęty,scianka
goraco,czasowki,>10,kobieta,srednie,scianka
goraco,czasowki,>10,mezczyzna,zmeczony,skaly
goraco,czasowki,>10,mezczyzna,wypoczęty,scianka
goraco,czasowki,>10,mezczyzna,srednie,skaly
letnio,lina,<3,kobieta,zmeczony,scianka
letnio,lina,<3,kobieta,wypoczęty,dom
letnio,lina,<3,kobieta,srednie,dom
letnio,lina,<3,mezczyzna,zmeczony,skaly
letnio,lina,<3,mezczyzna,wypoczęty,dom
letnio,lina,<3,mezczyzna,srednie,dom
letnio,lina,3-10,kobieta,zmeczony,scianka
letnio,lina,3-10,kobieta,wypoczęty,skaly
letnio,lina,3-10,kobieta,srednie,scianka
letnio,lina,3-10,mezczyzna,zmeczony,scianka
letnio,lina,3-10,mezczyzna,wypoczęty,scianka
letnio,lina,3-10,mezczyzna,srednie,scianka
letnio,lina,>10,kobieta,zmeczony,scianka
letnio,lina,>10,kobieta,wypoczęty,scianka
letnio,lina,>10,kobieta,srednie,scianka
letnio,lina,>10,mezczyzna,zmeczony,skaly
letnio,lina,>10,mezczyzna,wypoczęty,dom
letnio,lina,>10,mezczyzna,srednie,scianka
letnio,bouldering,<3,kobieta,zmeczony,scianka
letnio,bouldering,<3,kobieta,wypoczęty,scianka
letnio,bouldering,<3,kobieta,srednie,scianka
letnio,bouldering,<3,mezczyzna,zmeczony,scianka
letnio,bouldering,<3,mezczyzna,wypoczęty,scianka
letnio,bouldering,<3,mezczyzna,srednie,dom
letnio,bouldering,3-10,kobieta,zmeczony,dom
letnio,bouldering,3-10,kobieta,wypoczęty,scianka
letnio,bouldering,3-10,kobieta,srednie,dom
letnio,bouldering,3-10,mezczyzna,zmeczony,skaly
letnio,bouldering,3-10,mezczyzna,wypoczęty,scianka
letnio,bouldering,3-10,mezczyzna,srednie,skaly
letnio,bouldering,>10,kobieta,zmeczony,skaly
letnio,bouldering,>10,kobieta,wypoczęty,scianka
letnio,bouldering,>10,kobieta,srednie,dom
letnio,bouldering,>10,mezczyzna,zmeczony,skaly
letnio,bouldering,>10,mezczyzna,wypoczęty,scianka
letnio,bouldering,>10,mezczyzna,srednie,skaly
letnio,czasowki,<3,kobieta,zmeczony,skaly
letnio,czasowki,<3,kobieta,wypoczęty,skaly
letnio,czasowki,<3,kobieta,srednie,skaly
letnio,czasowki,<3,mezczyzna,zmeczony,dom
letnio,czasowki,<3,mezczyzna,wypoczęty,skaly
letnio,czasowki,<3,mezczyzna,srednie,skaly
letnio,czasowki,3-10,kobieta,zmeczony,skaly
letnio,czasowki,3-10,kobieta,wypoczęty,dom
letnio,czasowki,3-10,kobieta,srednie,skaly
letnio,czasowki,3-10,mezczyzna,zmeczony,skaly
letnio,czasowki,3-10,mezczyzna,wypoczęty,dom
letnio,czasowki,3-10,mezczyzna,srednie,dom
letnio,czasowki,>10,kobieta,zmeczony,dom
letnio,czasowki,>10,kobieta,wypoczęty,skaly
letnio,czasowki,>10,kobieta,srednie,dom
letnio,czasowki,>10,mezczyzna,zmeczony,dom
letnio,czasowki,>10,mezczyzna,wypoczęty,skaly
letnio,czasowki,>10,mezczyzna,srednie,dom
zimno,lina,<3,kobieta,zmeczony,skaly
zimno,lina,<3,kobieta,wypoczęty,scianka
zimno,lina,<3,kobieta,srednie,dom
zimno,lina,<3,mezczyzna,zmeczony,scianka
zimno,lina,<3,mezczyzna,wypoczęty,skaly
zimno,lina,<3,mezczyzna,srednie,dom
zimno,lina,3-10,kobieta,zmeczony,skaly
zimno,lina,3-10,kobieta,wypoczęty,scianka
zimno,lina,3-10,kobieta,srednie,skaly
zimno,lina,3-10,mezczyzna,zmeczony,dom
zimno,lina,3-10,mezczyzna,wypoczęty,dom
zimno,lina,3-10,mezczyzna,srednie,scianka
zimno,lina,>10,kobieta,zmeczony,skaly
zimno,lina,>10,kobieta,wypoczęty,dom
zimno,lina,>10,kobieta,srednie,scianka
zimno,lina,>10,mezczyzna,zmeczony,dom
zimno,lina,>10,mezczyzna,wypoczęty,dom
zimno,lina,>10,mezczyzna,srednie,skaly
zimno,bouldering,<3,kobieta,zmeczony,dom
zimno,bouldering,<3,kobieta,wypoczęty,skaly
zimno,bouldering,<3,kobieta,srednie,dom
zimno,bouldering,<3,mezczyzna,zmeczony,scianka
zimno,bouldering,<3,mezczyzna,wypoczęty,dom
zimno,bouldering,<3,mezczyzna,srednie,skaly
zimno,bouldering,3-10,kobieta,zmeczony,skaly
zimno,bouldering,3-10,kobieta,wypoczęty,scianka
zimno,bouldering,3-10,kobieta,srednie,dom
zimno,bouldering,3-10,mezczyzna,zmeczony,dom
zimno,bouldering,3-10,mezczyzna,wypoczęty,scianka
zimno,bouldering,3-10,mezczyzna,srednie,dom
zimno,bouldering,>10,kobieta,zmeczony,dom
zimno,bouldering,>10,kobieta,wypoczęty,skaly
zimno,bouldering,>10,kobieta,srednie,dom
zimno,bouldering,>10,mezczyzna,zmeczony,dom
zimno,bouldering,>10,mezczyzna,wypoczęty,scianka
zimno,bouldering,>10,mezczyzna,srednie,scianka
zimno,czasowki,<3,kobieta,zmeczony,skaly
zimno,czasowki,<3,kobieta,wypoczęty,dom
zimno,czasowki,<3,kobieta,srednie,dom
zimno,czasowki,<3,mezczyzna,zmeczony,dom
zimno,czasowki,<3,mezczyzna,wypoczęty,skaly
zimno,czasowki,<3,mezczyzna,srednie,skaly
zimno,czasowki,3-10,kobieta,zmeczony,scianka
zimno,czasowki,3-10,kobieta,wypoczęty,skaly
zimno,czasowki,3-10,kobieta,srednie,dom
zimno,czasowki,3-10,mezczyzna,zmeczony,dom
zimno,czasowki,3-10,mezczyzna,wypoczęty,skaly
zimno,czasowki,3-10,mezczyzna,srednie,dom
zimno,czasowki,>10,kobieta,zmeczony,dom
zimno,czasowki,>10,kobieta,wypoczęty,skaly
zimno,czasowki,>10,kobieta,srednie,skaly
zimno,czasowki,>10,mezczyzna,zmeczony,dom
zimno,czasowki,>10,mezczyzna,wypoczęty,dom
zimno,czasowki,>10,mezczyzna,srednie,dom
mrozno,lina,<3,kobieta,zmeczony,scianka
mrozno,lina,<3,kobieta,wypoczęty,scianka
mrozno,lina,<3,kobieta,srednie,scianka
mrozno,lina,<3,mezczyzna,zmeczony,skaly
mrozno,lina,<3,mezczyzna,wypoczęty,scianka
mrozno,lina,<3,mezczyzna,srednie,skaly
mrozno,lina,3-10,kobieta,zmeczony,skaly
mrozno,lina,3-10,kobieta,wypoczęty,scianka
mrozno,lina,3-10,kobieta,srednie,scianka
mrozno,lina,3-10,mezczyzna,zmeczony,scianka
mrozno,lina,3-10,mezczyzna,wypoczęty,dom
mrozno,lina,3-10,mezczyzna,srednie,scianka
mrozno,lina,>10,kobieta,zmeczony,dom
mrozno,lina,>10,kobieta,wypoczęty,skaly
mrozno,lina,>10,kobieta,srednie,dom
